,BandID,BandName,BandLink,BandStatus,Country,Genre,Scraped
475,38350,Zoberbia,https://www.metal-archives.com/bands/Zoberbia/38350,Split-up,Argentina,Thrash Metal,31/08/2019 14:10:46
476,70235,Zobibor,https://www.metal-archives.com/bands/Zobibor/70235,Active,Sweden,Black/Death Metal/Punk,31/08/2019 14:10:46
477,20351,Zocabra,https://www.metal-archives.com/bands/Zocabra/20351,Unknown,Brazil,Black Metal,31/08/2019 14:10:46
478,12217,Zodiac,https://www.metal-archives.com/bands/Zodiac/12217,Active,Czechia,Thrash/Death Metal,31/08/2019 14:10:46
479,62472,Zodiac,https://www.metal-archives.com/bands/Zodiac/62472,Split-up,Japan,Heavy Metal/Hard Rock,31/08/2019 14:10:46
480,62473,Zodiac,https://www.metal-archives.com/bands/Zodiac/62473,Active,Japan,Heavy Metal,31/08/2019 14:10:46
481,100477,Zodiac,https://www.metal-archives.com/bands/Zodiac/100477,Split-up,Germany,Melodic Power Metal,31/08/2019 14:10:46
482,3540267849,Zodiac,https://www.metal-archives.com/bands/Zodiac/3540267849,Split-up,Germany,Progressive Metal/Folk,31/08/2019 14:10:46
483,3540272937,Zodiac,https://www.metal-archives.com/bands/Zodiac/3540272937,Changed name,Austria,Melodic Death Metal,31/08/2019 14:10:46
484,3540360142,Zodiac,https://www.metal-archives.com/bands/Zodiac/3540360142,Active,Australia,Doom Metal,31/08/2019 14:10:46
485,80573,Zodiac Ass,https://www.metal-archives.com/bands/Zodiac_Ass/80573,Active,Austria,Thrash Metal,31/08/2019 14:10:46
486,3540369449,Zodiac Ciphers,https://www.metal-archives.com/bands/Zodiac_Ciphers/3540369449,Split-up,Sweden,Melodic Thrash Metal,31/08/2019 14:10:46
487,3540384188,Zodiac Killer,https://www.metal-archives.com/bands/Zodiac_Killer/3540384188,Split-up,Finland,Groove Metal,31/08/2019 14:10:46
488,60945,Zodiacal Circle,https://www.metal-archives.com/bands/Zodiacal_Circle/60945,Active,United States,Doom Metal,31/08/2019 14:10:46
489,3540355144,Zodiah,https://www.metal-archives.com/bands/Zodiah/3540355144,Active,Serbia,Melodic Black/Death Metal,31/08/2019 14:10:46
490,113740,Zodiaque,https://www.metal-archives.com/bands/Zodiaque/113740,Active,Japan,Death/Thrash/Groove Metal,31/08/2019 14:10:46
491,3540319026,Zodiark,https://www.metal-archives.com/bands/Zodiark/3540319026,Changed name,United Kingdom,Progressive Death Metal/Metalcore,31/08/2019 14:10:46
492,3540441932,Zodz,https://www.metal-archives.com/bands/Zodz/3540441932,Active,Mexico,Thrash Metal,31/08/2019 14:10:46
493,47781,Zoebeast,https://www.metal-archives.com/bands/Zoebeast/47781,Active,Russia,Death Metal/Grindcore,31/08/2019 14:10:46
494,1831,Zoetrope,https://www.metal-archives.com/bands/Zoetrope/1831,Split-up,United States,Speed/Thrash Metal,31/08/2019 14:10:46
495,106648,Zofos,https://www.metal-archives.com/bands/Zofos/106648,Active,Greece,Black Metal,31/08/2019 14:10:46
496,3540379440,Zoghnity,https://www.metal-archives.com/bands/Zoghnity/3540379440,Active,Malaysia,Black Metal,31/08/2019 14:10:46
497,31773,Zohak,https://www.metal-archives.com/bands/Zohak/31773,Active,Chile,Melodic Death Metal,31/08/2019 14:10:46
498,3540448975,Zohamah,https://www.metal-archives.com/bands/Zohamah/3540448975,Active,Israel,Doom/Black/Death Metal,31/08/2019 14:10:46
499,3540401326,Zôia,https://www.metal-archives.com/bands/Z%C3%B4ia/3540401326,Unknown,Brazil,Groove Metal/Crossover,31/08/2019 14:10:46
500,2619,Zoic,https://www.metal-archives.com/bands/Zoic/2619,Split-up,Sweden,Power Metal,31/08/2019 14:10:49
501,66454,Zôikitá,https://www.metal-archives.com/bands/Z%C3%B4ikit%C3%A1/66454,Unknown,Brazil,Thrash Metal,31/08/2019 14:10:49
502,80632,Zöldïer Noïz,https://www.metal-archives.com/bands/Z%C3%B6ld%C3%AFer_No%C3%AFz/80632,Active,France,Death/Thrash Metal,31/08/2019 14:10:49
503,3540391715,Zoliborz,https://www.metal-archives.com/bands/Zoliborz/3540391715,Active,Russia,Experimental/Progressive Heavy Metal,31/08/2019 14:10:49
504,3540364691,Zolle,https://www.metal-archives.com/bands/Zolle/3540364691,Active,Italy,Sludge/Stoner Metal,31/08/2019 14:10:49
505,3540325970,Zoloft,https://www.metal-archives.com/bands/Zoloft/3540325970,Active,Argentina,Heavy/Doom Metal,31/08/2019 14:10:49
506,61904,Zoltan,https://www.metal-archives.com/bands/Zoltan/61904,Split-up,Denmark,Hard Rock/Heavy Metal,31/08/2019 14:10:49
507,110719,Zoltan,https://www.metal-archives.com/bands/Zoltan/110719,Changed name,Sweden,Heavy Metal,31/08/2019 14:10:49
508,3540370357,Zoltan,https://www.metal-archives.com/bands/Zoltan/3540370357,Active,Japan,Melodic Death Metal,31/08/2019 14:10:49
509,7199,Zoltar,https://www.metal-archives.com/bands/Zoltar/7199,Split-up,Brazil,Death Metal,31/08/2019 14:10:49
510,3540347924,Zoltar Speaks,https://www.metal-archives.com/bands/Zoltar_Speaks/3540347924,Active,United Kingdom,Melodic Heavy Metal,31/08/2019 14:10:49
511,35989,Zoltegorok,https://www.metal-archives.com/bands/Zoltegorok/35989,Split-up,France,Black Metal/Dark Ambient,31/08/2019 14:10:49
512,99755,Zoltum,https://www.metal-archives.com/bands/Zoltum/99755,Split-up,France,Death/Black Metal,31/08/2019 14:10:49
513,3540339505,ZOM,https://www.metal-archives.com/bands/ZOM/3540339505,Active,Ireland,Black/Death Metal,31/08/2019 14:10:49
514,49450,Zombie,https://www.metal-archives.com/bands/Zombie/49450,Split-up,United States,Thrash Metal,31/08/2019 14:10:49
515,88060,Zombie,https://www.metal-archives.com/bands/Zombie/88060,Active,Brazil,Thrash/Speed Metal,31/08/2019 14:10:49
516,3540277672,Zombie,https://www.metal-archives.com/bands/Zombie/3540277672,Split-up,Brazil,Thrash/Death Metal,31/08/2019 14:10:49
517,3540306048,Zombie Assault!!,https://www.metal-archives.com/bands/Zombie_Assault%21%21/3540306048,Active,Canada,Death Metal/Grindcore,31/08/2019 14:10:49
518,3540272719,Zombie Attack,https://www.metal-archives.com/bands/Zombie_Attack/3540272719,Active,Moldova,Death Metal,31/08/2019 14:10:49
519,3540333744,Zombie Attack,https://www.metal-archives.com/bands/Zombie_Attack/3540333744,Active,Ukraine,Thrash Metal,31/08/2019 14:10:49
520,79526,Zombie Autopilot,https://www.metal-archives.com/bands/Zombie_Autopilot/79526,Split-up,Sweden,Heavy Metal,31/08/2019 14:10:49
521,59524,Zombie Bitchslaughter,https://www.metal-archives.com/bands/Zombie_Bitchslaughter/59524,Active,Sweden,Death Metal with Grindcore and Stoner influences,31/08/2019 14:10:49
522,3540397183,Zombie Blasphemy,https://www.metal-archives.com/bands/Zombie_Blasphemy/3540397183,Unknown,Japan,Sludge/Doom/Death Metal,31/08/2019 14:10:49
523,3540326828,Zombie Cookbook,https://www.metal-archives.com/bands/Zombie_Cookbook/3540326828,Split-up,Brazil,Death/Thrash Metal/Grindcore,31/08/2019 14:10:49
524,100862,Zombie Corpse,https://www.metal-archives.com/bands/Zombie_Corpse/100862,Active,United States,Death/Black Metal,31/08/2019 14:10:49
525,99699,Zombie Corpse Autopsy,https://www.metal-archives.com/bands/Zombie_Corpse_Autopsy/99699,Active,United States,Melodic Technical Death Metal,31/08/2019 14:10:49
526,3540423460,Zombie Crew,https://www.metal-archives.com/bands/Zombie_Crew/3540423460,Active,Brazil,Thrash/Death Metal,31/08/2019 14:10:49
527,3540315603,Zombie Culture,https://www.metal-archives.com/bands/Zombie_Culture/3540315603,Split-up,United States,Black Metal/Punk,31/08/2019 14:10:49
528,78374,Zombie Death Stench,https://www.metal-archives.com/bands/Zombie_Death_Stench/78374,Active,United States,Death/Black Metal,31/08/2019 14:10:49
